Title,Year Released,Media Type,Movie Duration,Audience Rating,Audience Vote Count,Metacritic Score,Plot Description
89. The Legend of Hanuman,2021–,TV SERIES,NA,9.1,13K,NA,"When the power-hungry Ravan tore through the world to unleash evil, in his way stood a humble vaanar awoken to his divinity to become an immortal legend."
90. Andhadhun,2018,MOVIE,2h 19m,8.2,104K,NA,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of."
91. Jai Bhim,2021,MOVIE,2h 44m,8.7,219K,NA,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice."
92. Made in Heaven,2019–,TV SERIES,NA,8.2,14K,NA,"It is the story of two wedding planners in Delhi, where tradition jostles with modern aspirations against the backdrop of big fat Indian weddings revealing many secrets and lies."
93. Silence 2: The Night Owl Bar Shootout,2024,MOVIE,2h 22m,6.2,1.5K,NA,"ACP Avinash Verma (Manoj Bajpayee) and his SCU are called upon by the Commissioner of Police to investigate a mass shoot-out at the Night Owl Bar in Mumbai. Layers begin to peel at something bigger, deeper, and darker at play."
94. College Romance,2018–2023,TV SERIES,NA,8.3,29K,NA,"Three best friends look for love, laughs and some lifelong memories while attending college together."
95. Dangerous,2022,MOVIE,1h 39m,5.4,1.5K,NA,"Rashmi, an aspiring model, rents an apartment and meets married neighbor Nalini. They fall in love and plot to steal from Nalini's gangster husband. Will the risky con work?"
96. Asur: Welcome to Your Dark Side,2020–,TV SERIES,NA,8.5,66K,NA,"Shubh returns for revenge and this season he takes the challenge to a whole new level. With the heroes fallen apart, will a desolate Dhananjay Rajpoot and a torn Nikhil Nair be able to stop him?"
97. Saaho,2019,MOVIE,2h 50m,5.0,24K,NA,"In a fictional megalopolis, a stunning underworld theft triggers a fierce power struggle among the gangsters, with an enigmatic cop on their trail."
98. Guns & Gulaabs,2023–,TV SERIES,NA,7.7,18K,NA,"In a sleepy town, a mechanic struggles to emerge from his dead gangster father's shadow in a mission to win over the love of his life. An honest officer ends up being a chaos agent; whilst a reluctant cartel heir has an identity crisis."
99. Jaane Jaan,2023,MOVIE,2h 19m,7.0,14K,NA,A single mother and her daughter commit a crime and a neighbor helps them cover it up amid the police investigation.
100. Industry,2024–,TV SERIES,NA,7.0,141,NA,"The roller coaster life of a young struggling writer, who is caught in the politics & turmoil of the inner workings of Bollywood."
101. Swatantrya Veer Savarkar,2024,MOVIE,2h 56m,7.7,16K,NA,"The life journey of Indian freedom fighter and reformer Vinayak Damodar Savarkar, popularly known as Veer Savarkar."
102. Bhakshak,2024,MOVIE,2h 14m,7.2,6.1K,NA,Revolves around the journey of an unwavering woman's quest to seek justice and her perseverance in getting a heinous crime to light.
103. Sajini Shinde Ka Viral Video,2023,MOVIE,1h 56m,6.2,5.7K,NA,"When a school teacher goes missing after a risqué video of her is posted on the internet, a police officer is tasked with uncovering the truth behind her disappearance."
104. Ranneeti: Balakot & Beyond,2024–,TV SERIES,NA,8.2,16K,NA,"Post the deadly Pulwama attacks, Kashyap and his team strike back with a fitting reply. In the age of hybrid warfare, they must race against time to bring back their captured pilot while also battling Pakistan's lies in global media."
105. Pathaan,2023,MOVIE,2h 26m,5.8,157K,47,"An Indian agent races against a doomsday clock as a ruthless mercenary, with a bitter vendetta, mounts an apocalyptic attack against the country."
106. Om Shanti Om,2007,MOVIE,2h 42m,6.8,50K,NA,"In the 1970s, Om, an aspiring actor, is murdered, but is immediately reincarnated into the present day. He attempts to discover the mystery of his demise and find Shanti, the love of his previous life."
107. Mahabharat,2013–2014,TV SERIES,NA,9.0,12K,NA,"The mother of all wars, the epitome of all rivalries, the cauldron of emotions, insecurities, jealousies, and power play - Mahabharat."
108. Undekhi,2020–,TV SERIES,NA,7.9,8.8K,NA,"A dancer is killed in a fit of rage at the wedding of the scion of the Atwal family. A cop comes looking for the girl, while a film crew wants to expose the Atwals for their heinous crime. The Atwals will go to any lengths to remove pawns."
109. Sam Bahadur,2023,MOVIE,2h 30m,7.7,17K,NA,Revolves around the high and low points of Sam Manekshaw who became the first Indian Army officer to be promoted to the rank of Field Marshal.
110. My Name Is Khan,2010,MOVIE,2h 45m,7.9,117K,50,"Rizwan Khan is a Muslim immigrant to the US with Asperger's syndrome. After his family falls apart in the aftermath of 9/11, he begins an epic quest across the country to speak to the President of the United States and clear his name."
111. Hasratein,2022,TV SERIES,NA,5.1,112,NA,An anthology which traces the lives of five real women who break the shackles of a male chauvinistic taboo to explore their sexuality and desire.
112. Scam 2003 - The Telgi Story,2023,TV SERIES,NA,7.9,7.6K,NA,"Born in Khanapur in Karnataka, Telgi became the mastermind behind one of the most ingenious schemes in Indian history that spread across multiple states and shook the entire country."
113. Yodha,2024,MOVIE,2h 10m,5.7,7.9K,NA,"After terrorists hijack a passenger plane, an off-duty soldier aboard devises a strategy to defeat the hijackers and ensure the passengers' survival when the engine fails."
114. Mr. & Mrs. Mahi,2024,MOVIE,2h 19m,6.5,13K,NA,A married couple who share a love for cricket begin training in the game due to her natural talent.
115. Maamla Legal Hai,2024–,TV SERIES,NA,8.0,8.8K,NA,"Chaos collides with the letter of the law at District Court Patparganj, where quirky employees work to uphold justice but not without a few objections."
116. Lagaan: Once Upon a Time in India,2001,MOVIE,3h 44m,8.1,121K,84,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.
117. Your Honor,2020–,TV SERIES,NA,7.2,3.1K,NA,"As the son of a reputed judge gets involved in a hit and run, we see how even the most upright people break In order to save their family. The judge sacrifices relationships and subverts the law to save his son from a vengeful gangster."
118. Sultan,2016,MOVIE,2h 50m,7.1,52K,NA,"Sultan is a classic underdog tale about a wrestler's journey, looking for a comeback by defeating all odds."
119. Sita Ramam,2022,MOVIE,2h 43m,8.5,70K,NA,"An orphan soldier, Lieutenant Ram's life changes, after he gets a letter from a girl named Sita. He meets her and love blossoms between them. When he comes back to his camp in Kashmir,After he gets caught in jail, he sends a letter to Sita which won't reach her."
120. Hamare Baarah,2024,MOVIE,2h 28m,7.4,1.5K,NA,"A woman takes her father to court to allow her mother, who is in the midst of a risky pregnancy, the right to terminate the pregnancy in order to save her life."
121. Freddy,2022,MOVIE,2h 4m,7.3,34K,NA,The lines between love and obsession blur in this romantic thriller packed with unpredictable twists and sharp turns.
122. Pushpa: The Rise - Part 1,2021,MOVIE,2h 59m,7.6,89K,NA,"A labourer rises through the ranks of a red sandal smuggling syndicate, making some powerful enemies in the process."
123. Apharan,2018–,TV SERIES,NA,8.2,20K,NA,"Rudra, a senior police inspector is set on a mission to catch a wanted criminal with his personal life on stake."
124. Padmaavat,2018,MOVIE,2h 43m,7.1,37K,63,"Set in medieval Rajasthan, Queen Padmavati is married to a noble king and they live in a prosperous fortress with their subjects until an ambitious Sultan hears of Padmavati's beauty and forms an obsessive love for the Queen of Mewar."
125. Pushpa: The Rule - Part 2,2024,MOVIE,NA,NA,NA,NA,The clash is on as Pushpa and Bhanwar Singh continue their rivalry in this epic conclusion to the two-parted action drama.
126. Kal Ho Naa Ho,2003,MOVIE,3h 6m,7.9,76K,54,"Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her."
127. The White Tiger,2021,MOVIE,2h 5m,7.1,66K,76,An ambitious Indian driver uses his wit and cunning to escape from poverty and rise to the top. An epic journey based on the New York Times bestseller.
128. Bride & Prejudice,2004,MOVIE,2h 2m,6.2,22K,55,"A modern adaptation of Jane Austen's classic novel, Pride and Prejudice, that features the lives of four unmarried daughters in an Indian family."
129. Laila Majnu,2018,MOVIE,2h 20m,7.7,4.9K,NA,"Taking the leap out of the classic folklore, the story is set in today's time in Kashmir where Laila Majnu have problems relevant to the youth of today. While dealing with their feuding families a passionate love story unravels."
130. Sisterhood,2024–,TV SERIES,NA,7.3,441,NA,"Four radically different 9th-grade girls forge a bond within the walls of an all-girls convent school, embarking on a journey of friendship, self-discovery, and shared adventures that define their transformative school years."
131. Charmsukh,2019–,TV SERIES,NA,5.3,175,NA,"Mixed with emotions like Sexual Desire, Betrayal, Love and many more, this series consists of 13 episodes. Each episode has a different plot & cast."
132. Bambai Meri Jaan,2023–,TV SERIES,NA,7.4,4.8K,NA,A sneak into the post-independence Bombay and streets riddled with crime. An honest cop's journey as he tries to protect his family.
133. Laal Singh Chaddha,2022,MOVIE,2h 39m,5.6,178K,46,"The story of Laal Singh Chaddha, a simple man whose extraordinary journey will fill you with love, warmth and happiness."
134. Rocket Boys,2022–,TV SERIES,NA,8.9,18K,NA,"The story of two extraordinary men, Dr. Homi Jehangir Bhabha and Dr. Vikram Ambalal Sarabhai, who created history while building India's future."
135. Kho Gaye Hum Kahan,2023,MOVIE,2h 15m,7.4,30K,NA,"Ahana, Neil and Imaad are three friends in their 20s trying to find meaning in the digital age. They lean on each other as they navigate complexities of relationships and self-discovery."
136. Sardar Udham,2021,MOVIE,2h 44m,8.4,48K,NA,"A biopic detailing the 2 decades that Punjabi Sikh revolutionary, Udham Singh, spent planning the assassination of the man responsible for the Jallianwala Bagh massacre."
137. Masaan,2015,MOVIE,1h 49m,8.1,32K,NA,"Along India's Ganges River, four people face prejudice, a strict moral code and a punishing caste system as they confront personal tragedies."
138. Naajayaz,1995,MOVIE,2h 37m,5.6,742,NA,"Inspector Jai is an upright and fearless cop who is given the job to take down the criminal empire of Raj Solanki. Jai and his accomplice Inspector Sandhya, who also happens to be his love, start taking down Raj's empire with gusto."
139. Dilwale,2015,MOVIE,2h 38m,5.1,39K,NA,"The younger siblings of two estranged lovers fall for each other, unaware of the violent past that drove the elder ones apart."
140. Shershaah,2021,MOVIE,2h 15m,8.3,130K,NA,"Shershaah is the story of PVC awardee Indian soldier Capt. Vikram Batra, whose bravery and unflinching courage in chasing the Pakistani soldiers out of Indian territory contributed immensely in India finally winning the Kargil War in 1999."
